/* DATA DESCRIPTION:			
Citation:	Cuffey, Kurt M; Clow, Gary D (1999): GISP2 accumulation rate history [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.56075		
Related to:	Cuffey, Kurt M; Clow, Gary D (1997): Temperature, accumulation, and ice sheet elevation in central Greenland through the last deglacial transition. Journal of Geophysical Research: Oceans, 102(C12), 26383-26396, https://doi.org/10.1029/96JC03981		
	Cuffey, Kurt M; Clow, Gary D; Alley, Richard B; Stuiver, Minze; Waddington, Edwin D; Saltus, Richard W (1995): Large Arctic Temperature Change at the Wisconsin-Holocene Glacial Transition. Science, 270(5235), 455-458, https://doi.org/10.1126/science.270.5235.455		
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso		
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)		
Coverage:	LATITUDE: 72.970000 * LONGITUDE: -38.800000		
	DATE/TIME START: 1990-01-01T00:39:00 * DATE/TIME END: 1990-01-01T00:39:00		
	MINIMUM ELEVATION: 3208.0 m * MAXIMUM ELEVATION: 3208.0 m		
Event(s):	GISP2 * LATITUDE: 72.970000 * LONGITUDE: -38.800000 * DATE/TIME: 1990-01-01T00:39:00 * ELEVATION: 3208.0 m * Recovery: 3053 m * CAMPAIGN: GISP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: GISP2 is a combination of the shallow B and the deeper D core; about 200 ka		
Comment:	Accumulation rate values were calculated de-straining the depth-age scale of Meese, Sowers, et al. 3 Versions correspond to 3 different ice dynamics situations, as described in Cuffey and Clow (1997). Each one assumes a different value for the retreat distance of the ice sheet margin during the deglaciation.		
Parameter(s):	AGE [ka BP] (Age) * GEOCODE		
	Accumulation of snow/ice per year [cm/a] (Acc rate) * PI: Cuffey, Kurt M * METHOD/DEVICE: see reference(s) * COMMENT: ice-equivalent accumulation rate, calculated assuming a 50 kilometer retreat of the ice sheet margin during deglaciation		
	Accumulation of snow/ice per year [cm/a] (Acc rate) * PI: Cuffey, Kurt M * METHOD/DEVICE: see reference(s) * COMMENT: ice-equivalent accumulation rate, calculated assuming a 100 kilometer retreat of the ice sheet margin during deglaciation.		
	Accumulation of snow/ice per year [cm/a] (Acc rate) * PI: Cuffey, Kurt M * METHOD/DEVICE: see reference(s) * COMMENT: ice-equivalent accumulation rate, calculated assuming a 200 kilometer retreat of the ice sheet margin during deglaciation; this is probably the most accurate of the three		
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)		
Size:	33933 data points		
*/			
Age [ka BP]	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)	Acc rate [cm/a] (ice-equivalent accumulation r...)
-0.0375	21.54	21.543	21.543
-0.0365	32.48	32.476	32.475
-0.0355	21.14	21.136	21.134
-0.0345	28.89	28.891	28.888
-0.0335	31.7	31.705	31.7
-0.0325	20.97	20.968	20.964
-0.0315	15.3	15.303	15.3
-0.0305	23.72	23.719	23.714
-0.0295	27.31	27.316	27.309
-0.0285	17.76	17.762	17.757
-0.0275	28.94	28.945	28.936
-0.0265	28.88	28.889	28.878
-0.0255	25.84	25.845	25.835
-0.0245	23.67	23.675	23.665
-0.0235	13.4	13.403	13.397
-0.0225	20.54	20.548	20.538
-0.0215	26.33	26.335	26.321
-0.0205	20.41	20.415	20.404
-0.0195	23.16	23.165	23.152
-0.0185	22.83	22.84	22.827
-0.0175	21.97	21.976	21.962
-0.0165	22.67	22.68	22.665
-0.0155	15.37	15.379	15.368
-0.0145	22.98	22.985	22.968
-0.0135	24.25	24.253	24.234
-0.0125	23.9	23.904	23.885
-0.0115	24.09	24.095	24.075
-0.0105	17.06	17.071	17.056
-0.0095	27.21	27.218	27.194
-0.0085	23.49	23.504	23.482
-0.0075	23.67	23.677	23.655
-0.0065	24.41	24.423	24.399
-0.0055	20.57	20.575	20.554
-0.0045	28.81	28.822	28.792
-0.0035	27.88	27.896	27.865
-0.0025	25.75	25.761	25.733
-0.0015	25.94	25.952	25.922
-0.0005	16.58	16.593	16.573
0.0005	19.06	19.065	19.041
0.0015	20.96	20.973	20.947
0.0025	33.8	33.821	33.778
0.0035	22.44	22.456	22.427
0.0045	18.88	18.892	18.867
0.0055	30.04	30.053	30.012
0.0065	24.03	24.042	24.008
0.0075	27.26	27.279	27.24
0.0085	32.44	32.455	32.407
0.0095	21.93	21.943	21.91
0.0105	23.29	23.307	23.271
0.0115	27.22	27.235	27.192
0.0125	20.98	20.989	20.955
0.0135	16.58	16.592	16.564
0.0145	23.06	23.077	23.039
0.0155	27.05	27.065	27.019
0.0165	29.79	29.812	29.761
0.0175	21.46	21.475	21.437
0.0185	17.62	17.629	17.598
0.0195	33.48	33.508	33.447
0.0205	25.73	25.746	25.698
0.0215	25.18	25.202	25.155
0.0225	24.63	24.65	24.602
0.0235	16.69	16.706	16.673
0.0245	27.51	27.533	27.478
0.0255	14.8	14.813	14.783
0.0265	24.32	24.344	24.295
0.0275	16.94	16.957	16.922
0.0285	23.82	23.838	23.788
0.0295	30.07	30.094	30.029
0.0305	14.38	14.392	14.361
0.0315	16.47	16.486	16.45
0.0325	26.87	26.89	26.83
0.0335	29.05	29.073	29.007
0.0345	22.89	22.915	22.862
0.0355	33.45	33.48	33.402
0.0365	20.96	20.984	20.935
0.0375	27.35	27.379	27.313
0.0385	23.22	23.238	23.182
0.0395	25.41	25.436	25.373
0.0405	26.2	26.232	26.166
0.0415	26.29	26.322	26.255
0.0425	19.95	19.971	19.92
0.0435	30.76	30.79	30.711
0.0445	11.46	11.474	11.444
0.0455	16.51	16.53	16.486
0.0465	27.37	27.404	27.33
0.0475	16.6	16.622	16.577
0.0485	13.02	13.03	12.995
0.0495	23.21	23.232	23.168
0.0505	32.77	32.803	32.711
0.0515	20.44	20.463	20.405
0.0525	21.96	21.984	21.92
0.0535	19.81	19.834	19.776
0.0545	34.63	34.669	34.567
0.0555	15.5	15.52	15.474
0.0565	23.69	23.717	23.646
0.0575	28.97	29.005	28.917
0.0585	26.83	26.859	26.777
0.0595	23.9	23.935	23.861
0.0605	23.21	23.24	23.167
0.0615	32.29	32.336	32.234
0.0625	27.11	27.143	27.057
0.0635	26.42	26.456	26.371
0.0645	21.94	21.968	21.896
0.0655	31.87	31.912	31.807
0.0665	23.57	23.606	23.528
0.0675	19.81	19.837	19.77
0.0685	18.32	18.343	18.281
0.0695	22.95	22.979	22.9
0.0705	29.14	29.185	29.084
0.0715	31.54	31.581	31.472
0.0725	31.63	31.673	31.562
0.0735	17.77	17.797	17.734
0.0745	21.68	21.71	21.633
0.0755	25.61	25.647	25.554
0.0765	27.23	27.269	27.17
0.0775	29.64	29.685	29.576
0.0785	23.45	23.486	23.399
0.0795	24.28	24.321	24.23
0.0805	26.7	26.739	26.638
0.0815	17.3	17.329	17.263
0.0825	22.85	22.889	22.802
0.0835	19.74	19.767	19.691
0.0845	22.94	22.976	22.887
0.0855	22.19	22.228	22.141
0.0865	27.01	27.055	26.948
0.0875	24.68	24.72	24.622
0.0885	18.34	18.371	18.297
0.0895	27.98	28.024	27.91
0.0905	28.84	28.89	28.773
0.0915	26.49	26.531	26.422
0.0925	20.9	20.934	20.847
0.0935	16.9	16.928	16.857
0.0945	35.49	35.553	35.403
0.0955	26.67	26.713	26.6
0.0965	29.15	29.198	29.074
0.0975	20.27	20.305	20.218
0.0985	27.62	27.666	27.546
0.0995	24.41	24.451	24.344
0.1005	24.45	24.491	24.383
0.1015	22.85	22.894	22.792
0.1025	29.44	29.492	29.36
0.1035	22.11	22.152	22.052
0.1045	21.32	21.362	21.265
0.1055	14.78	14.804	14.736
0.1065	25.49	25.538	25.421
0.1075	23.88	23.928	23.818
0.1085	20.62	20.656	20.56
0.1095	15.69	15.715	15.642
0.1105	32.26	32.325	32.172
0.1115	17.39	17.426	17.343
0.1125	32.37	32.43	32.275
0.1135	25.77	25.82	25.696
0.1145	18.31	18.346	18.257
0.1155	21.67	21.712	21.606
0.1165	23.37	23.418	23.303
0.1175	30.1	30.166	30.017
0.1185	28.48	28.541	28.399
0.1195	31.9	31.963	31.803
0.1205	37.86	37.94	37.749
0.1215	29.5	29.563	29.413
0.1225	30.4	30.465	30.309
0.1235	18.6	18.638	18.542
0.1245	29.63	29.696	29.543
0.1255	22.89	22.937	22.818
0.1265	19.52	19.559	19.457
0.1275	25.49	25.547	25.413
0.1285	21.27	21.313	21.201
0.1295	24.7	24.755	24.624
0.1305	28.15	28.211	28.06
0.1315	20.49	20.539	20.429
0.1325	22.23	22.278	22.157
0.1335	15.4	15.436	15.352
0.1345	23.13	23.182	23.055
0.1355	17.15	17.188	17.093
0.1365	24.04	24.093	23.96
0.1375	18.91	18.949	18.844
0.1385	25.81	25.874	25.729
0.1395	29.3	29.368	29.203
0.1405	27.61	27.679	27.522
0.1415	32.85	32.923	32.736
0.1425	23.37	23.422	23.288
0.1435	22.53	22.58	22.45
0.1445	25.16	25.218	25.072
0.1455	15.63	15.665	15.574
0.1465	36.53	36.618	36.404
0.1475	27.87	27.94	27.775
0.1485	20.05	20.102	19.983
0.1495	20.07	20.123	20.003
0.1505	22.72	22.773	22.637
0.1515	16.62	16.657	16.557
0.1525	36.79	36.886	36.663
0.1535	25.44	25.502	25.347
0.1545	27.23	27.297	27.13
0.1555	29.91	29.983	29.799
0.1565	16.73	16.77	16.666
0.1575	26.44	26.512	26.348
0.1585	22.06	22.119	21.981
0.1595	20.32	20.368	20.24
0.1605	22.1	22.159	22.019
0.1615	23.01	23.067	22.921
0.1625	22.14	22.2	22.059
0.1635	21.27	21.33	21.194
0.1645	27.51	27.582	27.405
0.1655	43.56	43.672	43.39
0.1665	21.35	21.41	21.271
0.1675	21.37	21.428	21.288
0.1685	17.82	17.87	17.752
0.1695	24.08	24.148	23.989
0.1705	21.42	21.483	21.341
0.1715	25.91	25.986	25.813
0.1725	17.89	17.935	17.815
0.1735	25.06	25.134	24.966
0.1745	18.81	18.865	18.738
0.1755	24.21	24.278	24.113
0.1765	30.52	30.609	30.401
0.1775	26.96	27.036	26.851
0.1785	21.59	21.648	21.499
0.1795	18	18.054	17.929
0.1805	24.33	24.396	24.227
0.1815	27.96	28.041	27.846
0.1825	20.76	20.821	20.676
0.1835	17.16	17.213	17.092
0.1845	16.27	16.318	16.202
0.1855	21.71	21.775	21.621
0.1865	29.89	29.976	29.763
0.1875	24.48	24.549	24.374
0.1885	24.5	24.573	24.397
0.1895	16.34	16.393	16.275
0.1905	23.63	23.7	23.528
0.1915	40.05	40.169	39.876
0.1925	16.39	16.444	16.323
0.1935	27.35	27.435	27.234
0.1945	20.99	21.051	20.895
0.1955	31.06	31.155	30.925
0.1965	23.77	23.846	23.668
0.1975	17.38	17.437	17.307
0.1985	26.55	26.636	26.437
0.1995	28.41	28.498	28.284
0.2005	37.62	37.735	37.45
0.2015	22.04	22.104	21.936
0.2025	34.01	34.114	33.854
0.2035	17.47	17.527	17.393
0.2045	16.56	16.614	16.487
0.2055	24.86	24.942	24.749
0.2065	20.27	20.336	20.178
0.2075	27.67	27.754	27.538
0.2085	18.46	18.515	18.37
0.2095	23.09	23.16	22.978
0.2105	15.71	15.757	15.633
0.2115	27.74	27.83	27.61
0.2125	21.28	21.351	21.182
0.2135	20.37	20.436	20.273
0.2145	34.29	34.406	34.13
0.2155	25.04	25.126	24.924
0.2165	24.13	24.214	24.019
0.2175	23.22	23.3	23.111
0.2185	27.89	27.983	27.755
0.2195	28.84	28.942	28.706
0.2205	28.87	28.966	28.729
0.2215	22.37	22.441	22.257
0.2225	30.78	30.886	30.631
0.2235	17.73	17.793	17.646
0.2245	24.28	24.366	24.164
0.2255	17.76	17.817	17.668
0.2265	33.68	33.792	33.508
0.2275	29.02	29.123	28.878
0.2285	23.42	23.504	23.305
0.2295	24.38	24.462	24.255
0.2305	27.21	27.307	27.075
0.2315	17.84	17.902	17.749
0.2325	23.49	23.571	23.369
0.2335	31.03	31.142	30.874
0.2345	15.05	15.107	14.977
0.2355	17.89	17.949	17.794
0.2365	16.01	16.067	15.927
0.2375	37.7	37.84	37.51
0.2385	25.47	25.56	25.336
0.2395	19.82	19.89	19.716
0.2405	26.44	26.539	26.305
0.2415	25.52	25.609	25.382
0.2425	17.02	17.08	16.929
0.2435	21.76	21.838	21.643
0.2445	12.3	12.348	12.238
0.2455	29.36	29.467	29.202
0.2465	32.23	32.345	32.054
0.2475	17.07	17.132	16.977
0.2485	15.18	15.236	15.098
0.2495	20.88	20.96	20.77
0.2505	32.3	32.42	32.124
0.2515	29.47	29.582	29.31
0.2525	25.68	25.782	25.545
0.2535	34.27	34.405	34.087
0.2545	30.49	30.607	30.323
0.2555	19.07	19.138	18.96
0.2565	20.98	21.065	20.869
0.2575	27.68	27.787	27.527
0.2585	21.97	22.051	21.844
0.2595	32.5	32.623	32.316
0.2605	22.95	23.042	22.824
0.2615	29.67	29.786	29.504
0.2625	23.94	24.035	23.806
0.2635	25.87	25.975	25.727
0.2645	18.22	18.288	18.113
0.2655	30.7	30.824	30.528
0.2665	30.73	30.849	30.551
0.2675	19.21	19.29	19.103
0.2685	28.84	28.957	28.676
0.2695	25.01	25.112	24.867
0.2705	26.95	27.062	26.798
0.2715	27.94	28.048	27.773
0.2725	31.81	31.942	31.628
0.2735	24.11	24.212	23.974
0.2745	19.3	19.378	19.187
0.2755	28.97	29.086	28.797
0.2765	28.98	29.103	28.814
0.2775	19.33	19.411	19.217
0.2785	19.34	19.42	19.225
0.2795	19.35	19.428	19.233
0.2805	29.04	29.161	28.868
0.2815	29.06	29.178	28.883
0.2825	29.08	29.198	28.901
0.2835	29.09	29.215	28.918
0.2845	9.7	9.74	9.64
0.2855	19.41	19.49	19.29
0.2865	19.42	19.5	19.3
0.2875	19.43	19.508	19.307
0.2885	29.16	29.28	28.978
0.2895	19.45	19.529	19.326
0.2905	19.45	19.537	19.334
0.2915	29.2	29.325	29.019
0.2925	29.22	29.342	29.035
0.2935	29.23	29.36	29.053
0.2945	29.25	29.379	29.07
0.2955	19.51	19.594	19.387
0.2965	29.28	29.411	29.099
0.2975	19.53	19.615	19.406
0.2985	29.31	29.442	29.128
0.2995	19.55	19.636	19.426
0.3005	19.56	19.646	19.435
0.3015	29.36	29.485	29.169
0.3025	29.37	29.503	29.186
0.3035	29.39	29.522	29.203
0.3045	29.41	29.54	29.22
0.3055	9.81	9.85	9.74
0.3065	29.43	29.566	29.244
0.3075	29.45	29.584	29.261
0.3085	19.64	19.732	19.516
0.3095	19.65	19.74	19.523
0.3105	19.66	19.75	19.532
0.3115	29.51	29.641	29.313
0.3125	29.53	29.66	29.332
0.3135	29.54	29.675	29.345
0.3145	39.41	39.594	39.153
0.3155	19.71	19.804	19.583
0.3165	19.72	19.812	19.59
0.3175	29.6	29.733	29.399
0.3185	19.74	19.828	19.605
0.3195	39.5	39.684	39.236
0.3205	29.64	29.777	29.44
0.3215	19.77	19.86	19.634
0.3225	19.77	19.866	19.64
0.3235	29.68	29.816	29.475
0.3245	9.89	9.94	9.83
0.3255	19.79	19.888	19.66
0.3265	39.62	39.804	39.346
0.3275	19.81	19.909	19.679
0.3285	29.74	29.879	29.533
0.3295	19.83	19.927	19.696
0.3305	29.76	29.905	29.557
0.3315	29.78	29.921	29.572
0.3325	19.86	19.954	19.72
0.3335	29.8	29.948	29.596
0.3345	29.82	29.961	29.608
0.3355	19.89	19.983	19.747
0.3365	29.84	29.988	29.633
0.3375	29.86	30.004	29.648
0.3385	19.91	20.01	19.772
0.3395	19.92	20.017	19.779
0.3405	29.89	30.041	29.682
0.3415	19.94	20.035	19.795
0.3425	9.97	10	9.9
0.3435	29.93	30.074	29.712
0.3445	9.98	10	9.91
0.3455	29.95	30.097	29.732
0.3465	29.96	30.112	29.746
0.3475	29.98	30.128	29.761
0.3485	19.99	20.092	19.846
0.3495	20	20.1	19.854
0.3505	30.01	30.165	29.795
0.3515	20.02	20.117	19.87
0.3525	30.04	30.192	29.82
0.3535	20.03	20.134	19.885
0.3545	30.06	30.215	29.841
0.3555	20.05	20.149	19.898
0.3565	20.05	20.157	19.906
0.3575	10	10.1	9.95
0.3585	30.1	30.254	29.876
0.3595	30.11	30.266	29.886
0.3605	30.12	30.281	29.9
0.3615	30.14	30.293	29.911
0.3625	30.15	30.306	29.923
0.3635	30.16	30.321	29.936
0.3645	20.11	20.219	19.962
0.3655	30.18	30.344	29.957
0.3665	10.1	10.1	9.99
0.3675	40.28	40.489	39.971
0.3685	20.14	20.25	19.991
