,glacier,region,N_scalar,ice_flux,boundary_flux,proximal_flux,sediment_flux,max_velocity,max_pressure,drainage_area,mean_fringe,med_fringe
0,rolige-brae,CE,0.95,0.626706118687,27535118.7958,44827303.0518,72362421.8476,454.142785239,5267486.79247,4574.69013686,0.0655813448453,0.019070190069
1,sermeq-avannarleq,CW,0.95,2.21177996577,34102931.0309,562498838.188,596601769.219,1565.6979767,7308769.86935,27042.5919779,0.502952478192,0.501104208783
2,charcot-gletscher,CE,0.95,0.136207022143,0.0,-0.836155416689,-0.836155416689,512.401785448,3071550.63769,586.5812689,0.0180647279244,0.00594762118962
3,sydbrae,CE,0.95,0.285266681312,0.0,5132382.13302,5132382.13302,694.367287176,2031322.09911,826.307302857,0.0224103624962,0.00116376076663
4,kangiata-nunaata-sermia,SW,0.95,4.55254613726,19836241.1738,59068047.1465,78904288.3203,6003.63445181,5534083.15633,21388.1248376,0.108928303384,0.0819552266702
5,eielson-gletsjer,CE,0.95,0.0450033456953,0.0,2525416.68068,2525416.68068,174.031718632,6551613.91004,8423.62502002,0.0457703741373,0.0287298944143
6,narsap-sermia,SW,0.95,3.136940135,3161822.61322,16276025.2913,19437847.9045,2752.47593772,4973761.34555,7490.67270659,0.0554075044871,0.0329450683492
7,kangilernata-sermia,CW,0.95,1.02435457097,46974676.1965,77279057.0024,124253733.199,2505.59679412,7233922.82632,35708.2091983,0.577461480846,0.562703452184
8,dode-brae,CE,0.95,0.102080032083,0.0,0.208514467576,0.208514467576,139.439525061,2920695.56729,1016.36984175,0.0385771092726,0.0270583402305
9,daugaard-jensen-gletsjer,CE,0.95,9.60515777231,22047543.8569,239516552.394,261564096.251,1438.48304808,7017409.71541,48811.736759,0.461173438093,0.450150726287
10,vestfjord-gletsjer,CE,0.95,2.39614215823,10079333.0414,16969662.4027,27048995.4441,1088.45613447,6184127.59332,10973.1700192,0.0363420456679,0.012009831974
11,sermeq-kullajeq,CW,0.95,7.39960691026,10652993.7752,40521856.9187,51174850.6939,4781.61904709,5559895.42029,6809.20178937,0.619919823009,0.605132364498
12,bredegletsjer,CE,0.95,0.814427067648,0.0,834.292092473,834.292092473,1371.40373128,1682591.36413,1093.79653359,0.0317531284475,0.00105037779583
13,magga-dan-gletsjer,CE,0.95,2.22887982099,34552487.686,85437623.5869,119990111.273,3451.88422983,4015757.27748,3455.91472526,0.0569280421256,0.0108183447176
14,graah-gletscher,CE,0.95,1.07207330861,0.0,3286424.32072,3286424.32072,1556.06685632,3338853.47415,976.59708075,0.0291803675203,0.00413687379411
15,akullersuup-sermia,SW,0.95,0.443064236251,23046210.6058,87078127.8577,110124338.463,1146.47950324,3735018.1035,1602.92521217,0.101849249714,0.0532786685789
16,eqip-sermia,CW,0.95,0.986256465941,13064415.1833,124895732.169,137960147.353,1228.55946054,2724423.14443,418.321175513,0.127867964113,0.0907363975323
17,kista-dan-gletsjer,CE,0.95,0.31215493097,176883229.758,275721792.904,452605022.661,795.868980918,3541867.56309,1830.96017169,0.131268767926,0.0927996754736
18,rolige-brae,CE,0.9,0.626706118687,29316147.3192,46102571.3917,75418718.7109,454.142785239,6145401.25788,4574.69013686,0.0836559193845,0.028502464415
19,sermeq-avannarleq,CW,0.9,2.21177996577,33727651.9687,486082993.723,519810645.691,1565.6979767,8526898.18091,27042.5919779,0.747836804877,0.76044485718
